"tract_geoid","state_fips","state_name","pfoa_average","pfoa_observation_count","station_count","total_population","people_of_color_pct","white_non_hispanic_pct","black_non_hispanic_pct","aian_non_hispanic_pct","asian_non_hispanic_pct","nhpi_non_hispanic_pct","other_race_non_hispanic_pct","multiracial_non_hispanic_pct","hispanic_or_latino_pct","median_household_income"
"06013320001","06","California","5","2","2","3276","51.0683760683761","48.9316239316239","7.17338217338217","0","2.5030525030525","0","0.641025641025641","12.2100122100122","28.5409035409035","98602"
"06013327001","06","California","3920","2","2","3572","57.7267637178051","42.2732362821949","7.86674132138858","0.167973124300112","1.23180291153415","0","0.0559910414333707","2.32362821948488","46.0806270996641","102675"
"06013358000","06","California","2800","2","2","5818","74.7163973874184","25.2836026125816","17.8239944998281","0.120316259883121","12.3066345823307","0","1.90787212100378","3.970436576143","38.5871433482296","80255"
"06013365002","06","California","1600","2","2","5114","94.4466171294486","5.55338287055143","10.9112240907313","0","11.5369573719202","4.45834962847086","0","3.42197888150176","64.1181071568244","83587"
"06013392201","06","California","5","2","2","5257","92.0296747194217","7.97032528057828","18.0140764694693","0.133155792276964","34.867795320525","0","2.70116035761841","4.41316340117938","31.9003233783527","118412"
"06019003104","06","California","170","2","2","4775","74.5759162303665","25.4240837696335","4.73298429319372","0.43979057591623","19.5392670157068","0","0","4.87958115183246","44.9842931937173","58438"
"06021010300","06","California","120","2","2","2196","35.9289617486339","64.0710382513661","0.364298724954463","3.09653916211293","0.683060109289617","0","0.546448087431694","2.82331511839709","28.4153005464481","78558"
"06023010400","06","California","17","2","2","3828","23.2758620689655","76.7241379310345","0","3.18704284221526","2.37722048066876","0","0","11.2330198537095","6.478578892372","82317"
"06025011001","06","California","36","4","4","6566","90.7858665854401","9.21413341455985","1.02040816326531","0.258909533962839","1.0508681084374","0","0","0.106609808102345","88.3490709716722","86672"
"06025011100","06","California","8","2","2","3167","82.7912851278813","17.2087148721187","4.35743605936217","0","1.04199557941269","0","0","11.872434480581","65.5194190085254","68854"
"06025011901","06","California","2","2","2","1935","97.7777777777778","2.22222222222222","0.41343669250646","0","3.15245478036176","0","0","0","94.2118863049096","79798"
"06025012400","06","California","3","2","8","835","35.9281437125749","64.0718562874251","23.2335329341317","0","0","0","1.67664670658683","4.4311377245509","6.58682634730539","25978"
"06029003304","06","California","120","2","2","2764","45.4052098408104","54.5947901591896","2.85817655571635","0","1.62807525325615","0.253256150506512","0","5.60781476121563","35.0578871201158","92500"
"06029005509","06","California","7","2","2","4737","32.1722609246358","67.8277390753641","4.13763985644923","0","4.45429596791218","0","2.57546970656534","8.76081908380832","12.2440363099008","100144"
"06029005600","06","California","1","2","2","2698","67.1979243884359","32.8020756115641","7.30170496664196","2.33506300963677","2.85396590066716","0.44477390659748","3.22461082283173","15.7524091919941","35.2853965900667","53170"
"06029005700","06","California","17000","2","2","2633","45.3475123433346","54.6524876566654","12.6851500189897","0.721610330421572","1.67109760729206","0","0.379794910748196","8.50740600075959","21.3824534751234","93810"
"06029006500","06","California","1","2","2","3728","61.131974248927","38.868025751073","13.3583690987124","1.28755364806867","3.16523605150215","0.509656652360515","0","10.0321888412017","32.7789699570815","48833"
"06031001200","06","California","1","2","2","2444","49.7135842880524","50.2864157119476","2.65957446808511","1.02291325695581","0","0","0.16366612111293","4.95090016366612","40.9165302782324","83250"
"06031001703","06","California","1700","2","2","4970","96.841046277666","3.158953722334","0.724346076458752","0","1.20724346076459","0","0","0","94.9094567404426","60752"
"06033000702","06","California","240","2","2","4586","60.7283035324902","39.2716964675098","0.872219799389446","0.261665939816834","0","0","0","6.99956389010031","52.5948539031836","37765"
"06035040100","06","California","420","2","2","1289","24.4375484871994","75.5624515128006","3.10318076027929","2.87044220325834","3.41349883630721","0","0","2.48254460822343","12.5678820791311","43239"
"06035040200","06","California","63","2","2","2481","27.0858524788392","72.9141475211608","0","7.33575171301894","0","0","0.483675937122128","5.40104796453043","13.8653768641677","65795"
"06035040600","06","California","33","2","2","3640","46.8131868131868","53.1868131868132","8.51648351648352","3.76373626373626","1.86813186813187","0.0549450549450549","0","4.17582417582418","28.4340659340659","46659"
"06037121102","06","California","12","2","2","2436","65.1067323481117","34.8932676518883","2.58620689655172","0","2.01149425287356","0","3.28407224958949","4.80295566502463","52.4220032840722","79743"
"06037121900","06","California","5","2","2","2797","90.0965319985699","9.9034680014301","1.17983553807651","0","5.68466213800501","0","0","0","83.2320343224884","56115"
"06037187102","06","California","13.5","4","4","4615","83.228602383532","16.771397616468","1.23510292524377","0","26.5655471289274","0","0","4.7670639219935","50.6608884073673","91944"
"06037207400","06","California","4","2","2","2598","74.2879137798306","25.7120862201694","15.6274056966898","0.384911470361817","22.4403387220939","0","0","4.81139337952271","31.0238645111624","78482"
"06037267600","06","California","19","2","2","2767","59.5229490422841","40.4770509577159","0.93964582580412","0","25.9848211058909","0.505963136971449","2.6743765811348","6.64980122876762","22.7683411637152","89286"
"06037300902","06","California","220","2","2","2051","32.2281813749391","67.7718186250609","0.68259385665529","0","18.6250609458801","0","0","3.70550950755729","9.21501706484642","186250"
"06037301601","06","California","3","2","2","5513","27.3353890803555","72.6646109196445","0.725557772537638","0","5.53237801559949","0","0","0.852530382731725","20.2249229094867","54469"
"06037310100","06","California","150","2","2","5968","28.7030831099196","71.2969168900804","5.09383378016086","0.720509383378016","9.29959785522788","0","0","3.55227882037534","10.0368632707775","171991"
