Site code	Site type	Sample date (yyyymmdd)	11Cl-PF3OUDS	4:2FTS	6:2FTS	8:2FTS	9Cl-PF3ONS	FBSA	FHx-SA	FOSA	GenX	NaDONA	N-EtFOSAA linear	N-EtFOSA-M	N-MeFOSAA linear	N-MeFOSA-M	PFBA	PFBS	PFDA	PFDoA	PFDS	PFHpA	PFHpS	PFHxA	PFHxS Branched	PFHxS Linear	PFNA	PFNS	PFOA	PFOS Branched	PFOS Linear	PFPeA	PFPeS	PFTeDA	PFTrDA	PFUnDA
LA_3_Pub	Public supply	20210721	<47.6	<18.9	<48	<19.4	<47.1	<101	<101	<10.1	<10.1	<1.9	<15.7	<20.2	<38.4	<50.5	<20.2	<9.0	<10.1	<10.1	<9.8	<10.1	<9.6	<5.1	<34.9	<15	<10.1	<19.4	<2.0	<39.6	<14.8	<10.1	<9.5	<10.1	<10.1	<20.2
LA_4_Pub	Public supply	20210725	<47.6	<18.9	<48	<19.4	<47.1	<101	<101	<10.1	<10.1	<1.9	<15.7	<20.2	<38.4	<50.5	<20.2	<9.0	<10.1	<10.1	<9.8	<10.1	<9.6	<5.1	<34.9	<15	<10.1	<19.4	<2.44	<39.6	<14.8	<10.1	<9.5	<10.1	<10.1	<20.2
LA_5_Pub	Public supply	20211103	<9.5	<18.9	<19.4	<9.7	<18.8	<101	<50.5	<20.2	<10.1	<1.9	<7.8	<5.1	<3.8	<10.1	<50.5	<9.0	<5.1	<10.1	<9.8	<20.2	<19.3	<50.5	<17.5	<7.5	<5.1	<19.4	<5.1	<19.8	<14.8	<10.1	<4.8	<5.1	<20.2	<5.1
LA_6_Pub	Public supply	20211115	<19.0	<4.7	<19.2	<9.7	<18.8	<50.5	<50.5	<5.1	<20.2	<1.9	<7.8	<5.1	<7.7	<10.1	<20.2	<4.5	<10.1	<10.1	<19.5	<10.1	<9.6	<20.2	<34.9	<7.5	<10.1	<19.4	3.7	<19.8	<7.4	<5.1	<9.5	<10.1	<10.1	<10.1
LA_7_Pub	Public supply	20211201	<4.8	<4.7	<9.6	<4.9	<18.8	<50.5	<20.2	<5.1	<5.1	<1.9	<3.9	<10.1	<3.8	<10.1	<5.1	<4.5	<2.0	<5.1	<9.8	<5.1	<4.8	<5.1	<8.8	<3.7	<2.0	<9.7	<2.0	<39.6	<3.7	<2.0	<1.9	<5.1	<5.1	<2.0
LA_8_Pub	Public supply	20211201	<4.8	<1.9	<9.6	<4.9	<18.8	<50.5	<50.5	<5.1	<5.1	<1.9	<7.8	<10.1	<7.7	<20.2	<10.1	<4.5	<2.0	<5.1	<9.8	<10.1	<4.8	<10.1	<8.8	<1.5	<2.0	<9.7	<2.0	<19.8	<3.7	<2.0	<4.8	<5.1	<5.1	<5.1
MA_1_Priv	Private supply	20210707	<47.6	<18.9	<19.2	<19.4	<47.1	<50.5	<101	<20.2	<5.1	<1.9	<15.7	<20.2	<38.4	<50.5	<20.2	<17.9	<10.1	<20.2	<9.8	<20.2	<9.6	<50.5	<17.5	<15.0	<10.1	<9.7	<10.1	<39.6	<14.8	<10.1	<4.8	<10.1	<10.1	<10.1
MA_12_Priv	Private supply	20211012	<9.5	<4.7	<9.6	<9.7	<18.8	<50.5	<50.5	<5.1	<10.1	<1.9	<3.9	<10.1	<7.7	<10.1	<5.1	3.26	<2.0	<5.1	<4.9	<5.1	<9.6	<5.1	<8.8	<3.7	<2.0	<9.7	<2.0	<39.6	<7.4	<2.0	<4.8	<2.0	<10.1	<2.0
MA_13_Priv	Private supply	20211103	<9.5	<18.9	<19.4	<9.7	<18.8	<101	<50.5	<20.2	<10.1	<1.9	<7.8	<5.1	<3.8	<10.1	<50.5	<9.0	<5.1	<10.1	<9.8	<20.2	<19.3	<50.5	<17.5	<7.5	<5.1	<19.4	5.8	<19.8	<14.8	<10.1	<4.8	<5.1	<20.2	<5.1
MA_14_Pub	Public supply	20211011	<9.5	<1.9	<9.6	<4.9	<18.9	<50.5	<50.5	<5.1	<5.1	<1.9	<3.9	<10.1	<7.7	<20.2	<8.3	3.0	<2.0	<5.1	<4.9	<5.1	<4.8	<10.1	<8.8	<3.7	<2.0	<9.7	E4.9	<39.6	<7.4	<5.1	<4.8	<5.1	<5.1	<2.0
