"station_id","tract_geoid","state_fips","state_name","county_fips","tract_code","site_name","industry","matrix","sample_year","longitude","latitude","pfoa","pfos","total_pfas","reported_pfas_level","total_population","people_of_color","people_of_color_pct","white_non_hispanic_pct","black_non_hispanic_pct","aian_non_hispanic_pct","asian_non_hispanic_pct","nhpi_non_hispanic_pct","other_race_non_hispanic_pct","multiracial_non_hispanic_pct","hispanic_or_latino_pct","median_household_income"
"47","06027000200","06","California","027","000200","Bishop-Sunland Class III Landfill","Landfill","Groundwater","2019","-118.400774","37.328673",,,"1","1","1820","550","30.2197802197802","69.7802197802198","2.58241758241758","0.494505494505495","0.989010989010989","0.10989010989011","0.21978021978022","4.12087912087912","21.7032967032967","92500"
"48","06025010500","06","California","025","010500","Brawley Class III Waste Management Facility","Landfill","Groundwater","2019","-115.538591","32.998459",,,"1","1","7478","6216","83.1238299010431","16.8761700989569","0","0.361059106713025","1.47098154586788","0","0","0","81.2917892484622","68125"
"49","06025012400","06","California","025","012400","Holtville Class III Waste Management Facility","Landfill","Groundwater","2019","-115.278689","32.848702",,,"1","1","835","300","35.9281437125749","64.0718562874251","23.2335329341317","0","0","0","1.67664670658683","4.4311377245509","6.58682634730539","25978"
"50","06025012400","06","California","025","012400","Picacho Solid Waste Disposal Service","Landfill","Groundwater","2019","-114.618834","32.814504",,"1","2","2","835","300","35.9281437125749","64.0718562874251","23.2335329341317","0","0","0","1.67664670658683","4.4311377245509","6.58682634730539","25978"
"51","06071010300","06","California","071","010300","Baker Class III Landfill","Landfill","Groundwater","2019","-116.057958","35.232059","2",,"2","2","2854","1343","47.0567624386826","52.9432375613174","0.315346881569727","0","6.41205325858444","0","0","5.18570427470217","35.1436580238262","64348"
"52","06081607400","06","California","081","607400","3rd Ave Landfill","Landfill","Groundwater","2019","-122.315183","37.547375",,,"2","2","4662","2499","53.6036036036036","46.3963963963964","0.386100386100386","0.45045045045045","26.9412269412269","2.16645216645217","0.3003003003003","4.5045045045045","18.8545688545689","148194"
"53","06071010700","06","California","071","010700","Needles Waste Management Facility","Landfill","Groundwater","2019","-114.622592","34.791598",,"1","3","3","3621","1780","49.1576912455123","50.8423087544877","4.36343551505109","0.497100248550124","1.07705053852527","0","0","3.86633526650097","39.3537696768848","33554"
"54","06059042205","06","California","059","042205","Prima Deshecha Sanitary Landfill","Landfill","Groundwater","2019","-117.625156","33.486663","1","1","4","4","5336","2072","38.8305847076462","61.1694152923538","0","0","2.60494752623688","0","0","5.13493253373313","31.0907046476762","138824"
"55","06025012301","06","California","025","012301","Ocotillo Waste Management Facility","Landfill","Groundwater","2019","-115.997606","32.772173",,"2","4","4","3994","3458","86.5798698047071","13.4201301952929","13.7456184276415","0.550826239359039","0.625938908362544","0.150225338007011","0.175262894341512","1.17676514772158","70.1552328492739","44750"
"56","06041101100","06","California","041","101100","Redwood Landfill","Landfill","Groundwater","2019","-122.564794","38.166173",,,"4","4","2428","702","28.9126853377265","71.0873146622735","0","0","20.8813838550247","0","0","3.83031301482702","4.20098846787479","208958"
