"tract_geoid","state_fips","compound","average_concentration","observation_count","station_count"
"06107000902","06","TOTAL_PFAS","27","2","2"
"06107000902","06","REPORTED_PFAS_LEVEL","27","2","2"
"06037402403","06","PFOA","1","2","2"
"06037402403","06","TOTAL_PFAS","29","2","2"
"06037402403","06","REPORTED_PFAS_LEVEL","29","2","2"
"06067009307","06","PFOA","2","2","2"
"06067009307","06","TOTAL_PFAS","29","2","2"
"06067009307","06","REPORTED_PFAS_LEVEL","29","2","2"
"06073017403","06","TOTAL_PFAS","31","2","2"
"06073017403","06","REPORTED_PFAS_LEVEL","31","2","2"
"06037404402","06","PFOA","5502","4","4"
"06037404402","06","PFOS","1600001","4","4"
"06037404402","06","TOTAL_PFAS","1871816","4","4"
"06037404402","06","REPORTED_PFAS_LEVEL","1871816","4","4"
"06037408006","06","PFOA","1","2","2"
"06037408006","06","TOTAL_PFAS","33","2","2"
"06037408006","06","REPORTED_PFAS_LEVEL","33","2","2"
"06071009134","06","PFOA","5","2","2"
"06071009134","06","PFOS","2","2","2"
"06071009134","06","TOTAL_PFAS","35","2","2"
"06071009134","06","REPORTED_PFAS_LEVEL","35","2","2"
"06071011900","06","PFOA","4","2","2"
"06071011900","06","PFOS","2","2","2"
"06071011900","06","TOTAL_PFAS","36","2","2"
"06071011900","06","REPORTED_PFAS_LEVEL","36","2","2"
"06071010424","06","PFOA","20","2","2"
"06071010424","06","PFOS","2","2","2"
"06071010424","06","TOTAL_PFAS","39","2","2"
"06071010424","06","REPORTED_PFAS_LEVEL","39","2","2"
"06071011300","06","PFOA","17","2","2"
"06071011300","06","PFOS","4","2","2"
"06071011300","06","TOTAL_PFAS","46","2","2"
"06071011300","06","REPORTED_PFAS_LEVEL","46","2","2"
"06107002701","06","TOTAL_PFAS","73.5","4","4"
"06107002701","06","REPORTED_PFAS_LEVEL","73.5","4","4"
"06037104204","06","TOTAL_PFAS","52","2","2"
"06037104204","06","REPORTED_PFAS_LEVEL","52","2","2"
"06025011100","06","PFOA","8","2","2"
"06025011100","06","PFOS","13","2","2"
"06025011100","06","TOTAL_PFAS","57","2","2"
"06025011100","06","REPORTED_PFAS_LEVEL","57","2","2"
"06075980600","06","PFOA","21","2","2"
"06075980600","06","PFOS","38","2","2"
"06075980600","06","TOTAL_PFAS","59","2","2"
"06075980600","06","REPORTED_PFAS_LEVEL","59","2","2"
"06073019209","06","PFOA","15","2","2"
"06073019209","06","PFOS","4","2","2"
"06073019209","06","TOTAL_PFAS","63","2","2"
"06073019209","06","REPORTED_PFAS_LEVEL","63","2","2"
"06073019105","06","PFOA","11","2","2"
"06073019105","06","PFOS","5","2","2"
"06073019105","06","TOTAL_PFAS","65","2","2"
"06073019105","06","REPORTED_PFAS_LEVEL","65","2","2"
"06089012303","06","PFOA","4","2","2"
"06089012303","06","TOTAL_PFAS","65","2","2"
"06089012303","06","REPORTED_PFAS_LEVEL","65","2","2"
"06055201005","06","PFOA","3","2","2"
"06055201005","06","TOTAL_PFAS","66","2","2"
"06055201005","06","REPORTED_PFAS_LEVEL","66","2","2"
"06059042203","06","PFOA","5","2","2"
"06059042203","06","PFOS","9","2","2"
"06059042203","06","TOTAL_PFAS","68","2","2"
"06059042203","06","REPORTED_PFAS_LEVEL","68","2","2"
"06037901300","06","PFOA","7","2","2"
"06037901300","06","PFOS","15","2","2"
"06037901300","06","TOTAL_PFAS","69","2","2"
"06037901300","06","REPORTED_PFAS_LEVEL","69","2","2"
"06037920106","06","PFOA","1","2","2"
"06037920106","06","TOTAL_PFAS","70","2","2"
"06037920106","06","REPORTED_PFAS_LEVEL","70","2","2"
"06029006500","06","PFOA","1","2","2"
"06029006500","06","TOTAL_PFAS","76","2","2"
"06029006500","06","REPORTED_PFAS_LEVEL","76","2","2"
"06037910401","06","PFOA","8","2","2"
"06037910401","06","PFOS","5","2","2"
"06037910401","06","TOTAL_PFAS","77","2","2"
"06037910401","06","REPORTED_PFAS_LEVEL","77","2","2"
"06071010435","06","PFOA","16","2","2"
"06071010435","06","PFOS","4","2","2"
"06071010435","06","TOTAL_PFAS","82","2","2"
"06071010435","06","REPORTED_PFAS_LEVEL","82","2","2"
"06029000914","06","TOTAL_PFAS","87","2","2"
"06029000914","06","REPORTED_PFAS_LEVEL","87","2","2"
"06001450742","06","PFOA","37","2","2"
"06001450742","06","PFOS","12","2","2"
"06001450742","06","TOTAL_PFAS","101","2","2"
"06001450742","06","REPORTED_PFAS_LEVEL","101","2","2"
"06073007601","06","PFOA","11","2","2"
"06073007601","06","PFOS","44","2","2"
"06073007601","06","TOTAL_PFAS","107","2","2"
"06073007601","06","REPORTED_PFAS_LEVEL","107","2","2"
"06037980010","06","PFOA","3","2","2"
"06037980010","06","TOTAL_PFAS","115","2","2"
"06037980010","06","REPORTED_PFAS_LEVEL","115","2","2"
"06073003213","06","PFOA","8","2","2"
"06073003213","06","PFOS","10","2","2"
"06073003213","06","TOTAL_PFAS","125","2","2"
"06073003213","06","REPORTED_PFAS_LEVEL","125","2","2"
"06037121900","06","PFOA","5","2","2"
"06037121900","06","PFOS","17","2","2"
"06037121900","06","TOTAL_PFAS","125","2","2"
"06037121900","06","REPORTED_PFAS_LEVEL","125","2","2"
"06065941200","06","PFOA","593","2","2"
"06065941200","06","TOTAL_PFAS","26679","2","2"
"06065941200","06","REPORTED_PFAS_LEVEL","26679","2","2"
"06067009201","06","PFOA","150","2","2"
"06067009201","06","PFOS","240","2","2"
"06067009201","06","TOTAL_PFAS","497","2","2"
"06067009201","06","REPORTED_PFAS_LEVEL","497","2","2"
"06085509108","06","PFOA","20","2","2"
"06085509108","06","PFOS","40000","2","2"
"06085509108","06","TOTAL_PFAS","40000","2","2"
"06085509108","06","REPORTED_PFAS_LEVEL","40000","2","2"
"06085504700","06","PFOA","120000","2","2"
"06085504700","06","PFOS","1900000","2","2"
"06085504700","06","REPORTED_PFAS_LEVEL","2020000","2","2"
"06067005301","06","PFOA","72","4","4"
"06067005301","06","PFOS","63.5","4","4"
"06067005301","06","TOTAL_PFAS","366.5","4","4"
"06067005301","06","REPORTED_PFAS_LEVEL","366.5","4","4"
"06045010700","06","PFOA","38","2","2"
"06045010700","06","TOTAL_PFAS","127","2","2"
"06045010700","06","REPORTED_PFAS_LEVEL","127","2","2"
"06073013308","06","PFOA","2","2","2"
"06073013308","06","PFOS","18","2","2"
"06073013308","06","TOTAL_PFAS","128","2","2"
"06073013308","06","REPORTED_PFAS_LEVEL","128","2","2"
"06111002905","06","PFOA","262.5","4","4"
"06111002905","06","PFOS","15","4","4"
"06111002905","06","TOTAL_PFAS","18675","4","4"
"06111002905","06","REPORTED_PFAS_LEVEL","18675","4","4"
"06111002901","06","PFOA","21","2","2"
"06111002901","06","PFOS","25","2","2"
"06111002901","06","TOTAL_PFAS","132","2","2"
"06111002901","06","REPORTED_PFAS_LEVEL","132","2","2"
"06097152702","06","PFOA","370","4","4"
"06097152702","06","PFOS","400","2","4"
"06097152702","06","TOTAL_PFAS","38720","4","4"
"06097152702","06","REPORTED_PFAS_LEVEL","38720","4","4"
"06073021202","06","PFOA","52","2","2"
"06073021202","06","PFOS","2","2","2"
"06073021202","06","TOTAL_PFAS","137","2","2"
"06073021202","06","REPORTED_PFAS_LEVEL","137","2","2"
"06073011602","06","PFOA","22","2","2"
"06073011602","06","PFOS","35","2","2"
"06073011602","06","TOTAL_PFAS","139","2","2"
"06073011602","06","REPORTED_PFAS_LEVEL","139","2","2"
"06073018509","06","PFOA","22","2","2"
"06073018509","06","PFOS","44","2","2"
"06073018509","06","TOTAL_PFAS","143","2","2"
"06073018509","06","REPORTED_PFAS_LEVEL","143","2","2"
"06067005205","06","PFOA","3","2","2"
"06067005205","06","PFOS","16","2","2"
"06067005205","06","TOTAL_PFAS","144","2","2"
"06067005205","06","REPORTED_PFAS_LEVEL","144","2","2"
"06085504602","06","PFOA","229.666666666667","6","6"
"06085504602","06","PFOS","33.5","4","6"
"06085504602","06","TOTAL_PFAS","2448.33333333333","6","6"
"06085504602","06","REPORTED_PFAS_LEVEL","2448.33333333333","6","6"
"06073017010","06","PFOA","20","2","2"
"06073017010","06","PFOS","13","2","2"
"06073017010","06","TOTAL_PFAS","155","2","2"
"06073017010","06","REPORTED_PFAS_LEVEL","155","2","2"
"06083003102","06","PFOA","39","2","2"
"06083003102","06","TOTAL_PFAS","159","2","2"
"06083003102","06","REPORTED_PFAS_LEVEL","159","2","2"
"06063000300","06","PFOA","66","2","2"
"06063000300","06","TOTAL_PFAS","159","2","2"
"06063000300","06","REPORTED_PFAS_LEVEL","159","2","2"
"06107003401","06","PFOA","39","2","2"
"06107003401","06","PFOS","31","2","2"
"06107003401","06","TOTAL_PFAS","162","2","2"
"06107003401","06","REPORTED_PFAS_LEVEL","162","2","2"
"06037980004","06","PFOA","10","2","2"
"06037980004","06","PFOS","8","2","2"
"06037980004","06","TOTAL_PFAS","165","2","2"
"06037980004","06","REPORTED_PFAS_LEVEL","165","2","2"
"06079013100","06","PFOA","14","2","2"
"06079013100","06","TOTAL_PFAS","167","2","2"
"06079013100","06","REPORTED_PFAS_LEVEL","167","2","2"
"06035040200","06","PFOA","63","2","2"
"06035040200","06","TOTAL_PFAS","173","2","2"
"06035040200","06","REPORTED_PFAS_LEVEL","173","2","2"
"06037121102","06","PFOA","12","2","2"
"06037121102","06","PFOS","8","2","2"
"06037121102","06","TOTAL_PFAS","189","2","2"
"06037121102","06","REPORTED_PFAS_LEVEL","189","2","2"
"06073005602","06","PFOA","23","2","2"
"06073005602","06","PFOS","15","2","2"
"06073005602","06","TOTAL_PFAS","191","2","2"
"06073005602","06","REPORTED_PFAS_LEVEL","191","2","2"
"06073003201","06","PFOA","16","2","2"
"06073003201","06","PFOS","53","2","2"
"06073003201","06","TOTAL_PFAS","195","2","2"
"06073003201","06","REPORTED_PFAS_LEVEL","195","2","2"
"06073016201","06","PFOA","15","2","2"
"06073016201","06","PFOS","7","2","2"
"06073016201","06","TOTAL_PFAS","224","2","2"
"06073016201","06","REPORTED_PFAS_LEVEL","224","2","2"
"06073002712","06","PFOA","18","2","2"
"06073002712","06","TOTAL_PFAS","243","2","2"
"06073002712","06","REPORTED_PFAS_LEVEL","243","2","2"
"06037408402","06","PFOA","25","2","2"
"06037408402","06","PFOS","12","2","2"
"06037408402","06","TOTAL_PFAS","245","2","2"
"06037408402","06","REPORTED_PFAS_LEVEL","245","2","2"
"06097150612","06","PFOA","260","2","2"
"06097150612","06","PFOS","17","2","2"
"06097150612","06","TOTAL_PFAS","0","2","2"
"06097150612","06","REPORTED_PFAS_LEVEL","260","2","2"
"06021010300","06","PFOA","120","2","2"
"06021010300","06","TOTAL_PFAS","267","2","2"
"06021010300","06","REPORTED_PFAS_LEVEL","267","2","2"
"06067009900","06","PFOA","66","2","2"
"06067009900","06","PFOS","13","2","2"
"06067009900","06","TOTAL_PFAS","280","2","2"
"06067009900","06","REPORTED_PFAS_LEVEL","280","2","2"
"06071012105","06","PFOA","190","2","2"
"06071012105","06","PFOS","8","2","2"
"06071012105","06","TOTAL_PFAS","282","2","2"
"06071012105","06","REPORTED_PFAS_LEVEL","282","2","2"
"06037920326","06","PFOA","21","2","2"
"06037920326","06","PFOS","9","2","2"
"06037920326","06","TOTAL_PFAS","314","2","2"
"06037920326","06","REPORTED_PFAS_LEVEL","314","2","2"
"06063000502","06","PFOA","130","2","2"
"06063000502","06","PFOS","12","2","2"
"06063000502","06","TOTAL_PFAS","347","2","2"
"06063000502","06","REPORTED_PFAS_LEVEL","347","2","2"
"06083002211","06","PFOA","10","2","2"
"06083002211","06","TOTAL_PFAS","384","2","2"
"06083002211","06","REPORTED_PFAS_LEVEL","384","2","2"
"06083002011","06","PFOA","169","2","2"
"06083002011","06","PFOS","2920","2","2"
"06083002011","06","TOTAL_PFAS","39535","2","2"
"06083002011","06","REPORTED_PFAS_LEVEL","39535","2","2"
"06077005131","06","PFOA","7000","2","2"
"06077005131","06","PFOS","440","2","2"
"06077005131","06","TOTAL_PFAS","55100","2","2"
"06077005131","06","REPORTED_PFAS_LEVEL","55100","2","2"
"06037980018","06","PFOA","7890","2","2"
"06037980018","06","PFOS","21600","2","2"
"06037980018","06","TOTAL_PFAS","174635","2","2"
"06037980018","06","REPORTED_PFAS_LEVEL","174635","2","2"
"06083980000","06","PFOA","79000","2","2"
"06083980000","06","PFOS","383000","2","2"
"06083980000","06","TOTAL_PFAS","8770829","2","2"
