"tract_geoid","state_fips","county_fips","tract_code","total_population","total_population_moe","race_ethnicity_total","white_non_hispanic","black_non_hispanic","aian_non_hispanic","asian_non_hispanic","nhpi_non_hispanic","other_race_non_hispanic","multiracial_non_hispanic","hispanic_or_latino","people_of_color","people_of_color_pct","white_non_hispanic_pct","black_non_hispanic_pct","asian_non_hispanic_pct","hispanic_or_latino_pct","median_household_income","median_household_income_moe","reported_pfas_observation_count","primary_pfas_average","pfoa_observation_count","station_count","primary_pfas_observation_count","pfos_observation_count","measurement_record_count","pfoa_average","total_pfas_average","reported_pfas_average","pfos_average","total_pfas_observation_count","primary_pfas_measure"
"06001404102","06","001","404102","2546","349","2546","1437","107","0","291","0","19","265","427","1109","43.5585231736057","56.4414768263943","4.20267085624509","11.4296936370778","16.7714061272584","110920","12116","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001404200","06","001","404200","3661","356","3661","2456","191","0","314","12","17","368","303","1205","32.9145042338159","67.0854957661841","5.21715378311937","8.57689155968315","8.27642720568151","250001",,"0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001404300","06","001","404300","3600","320","3600","2585","87","18","407","0","26","258","219","1015","28.1944444444444","71.8055555555556","2.41666666666667","11.3055555555556","6.08333333333333","232386","38993","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001404400","06","001","404400","5567","578","5567","2958","74","0","1294","0","53","1021","167","2609","46.865457158254","53.134542841746","1.32926172085504","23.2441171187354","2.99982037003772","231597","34367","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001404501","06","001","404501","1794","203","1794","1098","67","0","213","41","10","207","158","696","38.7959866220736","61.2040133779264","3.73467112597547","11.8729096989967","8.80713489409142","250001",,"0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001404502","06","001","404502","6286","818","6286","3830","326","34","1213","0","25","523","335","2456","39.0709513203945","60.9290486796055","5.18612790327712","19.2968501431753","5.3293032134903","250001",,"0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001404600","06","001","404600","4697","526","4697","2699","412","0","590","30","0","742","224","1998","42.5377900787737","57.4622099212263","8.77155631253992","12.5612092825208","4.76900149031297","233194","32059","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001404700","06","001","404700","2211","258","2211","1414","70","0","300","0","36","166","225","797","36.0470375395749","63.9529624604251","3.16598824061511","13.5685210312076","10.1763907734057","250001",,"0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001404800","06","001","404800","2755","368","2755","1512","245","125","384","0","11","155","323","1243","45.1179673321234","54.8820326678766","8.8929219600726","13.9382940108893","11.7241379310345","101607","52147","0",,"0","0","0","0","0",,,,,"0","PFOA"
"06001404900","06","001","404900","4929","647","4929","2384","188","0","823","56","150","560","768","2545","51.6331913166971","48.3668086833029","3.81416108744167","16.6970988030026","15.581253804017","132849","30662","0",,"0","0","0","0","0",,,,,"0","PFOA"
